location,time_posted,Mileage,Vehicle_color,Price,Vehicle_condition,engine_size,year,gearbox,brand,model,car_body,fuel,horsepower
Bizerte,7.0,22000.0,Noir,36700.0,Avec kilométrage,1.6,2022.0,Manuelle,Renault,Clio,Berline,Essence,4.0
Ariana,7.0,64000.0,Noir,93000.0,Avec kilométrage,1.4,2019.0,Automatique,Volkswagen,Passat CC,Berline,Essence,8.0
Tunis,7.0,119.0,Gris,41000.0,Avec kilométrage,1.6,2021.0,Manuelle,Renault,Clio,Compacte,Essence,5.0
Ben Arous,7.0,130.0,Bleu,76500.0,Avec kilométrage,1.6,2019.0,Manuelle,Volkswagen,T-ROC,Utilitaire,Essence,6.0
Le Kef,7.0,85000.0,Doré,38000.0,Avec kilométrage,1.6,2017.0,Manuelle,Citroen,C3,Autres,Essence,4.0
Ben Arous,7.0,44358.0,Autre,150000.0,Avec kilométrage,1.6,2022.0,Automatique,Hyundai,Tucson,Autres,Essence,10.0
Siliana,7.0,115000.0,Noir,63000.0,Avec kilométrage,1.8,2010.0,Automatique,Mercedes-Benz,Classe C,Berline,Essence,9.0
Ariana,7.0,158000.0,Gris,38000.0,Avec kilométrage,1.4,2012.0,Manuelle,Volkswagen,Polo,Compacte,Essence,5.0
Ben Arous,7.0,68000.0,Gris,295000.0,Avec kilométrage,2.0,2021.0,Automatique,Audi,Q7,4 x 4,Essence,16.0
Sfax,7.0,279283.0,Gris,21000.0,Avec kilométrage,1.4,2004.0,Manuelle,Renault,Megane,Berline,Essence,6.0
Tunis,7.0,300000.0,Gris,19900.0,Avec kilométrage,1.9,2012.0,Manuelle,Peugeot,Partner,Autres,Diesel,7.0
Kébili,7.0,180.0,Gris,42500.0,Avec kilométrage,1.2,2017.0,Manuelle,Peugeot,2008,4 x 4,Essence,5.0
Sfax,7.0,279283.0,Gris,21000.0,Avec kilométrage,1.4,2004.0,Manuelle,Renault,Megane,Berline,Essence,6.0
Ariana,7.0,40000.0,Blanc,44000.0,Avec kilométrage,1.2,2023.0,Automatique,Toyota,Aygo,Autres,Essence,5.0
Sfax,7.0,45000.0,Gris,125000.0,Nouveau,1.4,2021.0,Automatique,Seat,Leon,Berline,Essence,9.0
Ariana,7.0,90000.0,Noir,111111.0,Avec kilométrage,1.6,2019.0,Manuelle,Volkswagen,Polo,Berline,Essence,4.0
Tunis,7.0,50000.0,Bleu,90000.0,Avec kilométrage,1.6,2022.0,Automatique,Nissan,Juke,4 x 4,Essence,6.0
Bizerte,7.0,22000.0,Noir,36700.0,Avec kilométrage,1.6,2022.0,Manuelle,Renault,Clio,Berline,Essence,4.0
Béja,7.0,188000.0,Noir,49500.0,Nouveau,1.2,2020.0,Manuelle,Kia,Rio,Autres,Essence,5.0
Ben Arous,7.0,152000.0,Blanc,24800.0,Avec kilométrage,1.2,2017.0,Manuelle,Fiat,Punto,Autres,Essence,4.0
Sfax,7.0,279283.0,Gris,21000.0,Avec kilométrage,1.4,2004.0,Manuelle,Renault,Megane,Berline,Essence,6.0
Bizerte,7.0,140000.0,Bleu,21000.0,Avec kilométrage,1.2,2012.0,Manuelle,Hyundai,I 10,Compacte,Essence,4.0
Bizerte,7.0,140000.0,Bleu,21000.0,Avec kilométrage,1.2,2012.0,Manuelle,Hyundai,I 10,Compacte,Essence,4.0
Tunis,7.0,346000.0,Noir,42800.0,Avec kilométrage,2.2,2006.0,Automatique,Mercedes-Benz,Classe E,Berline,Diesel,10.0
Mahdia,7.0,200000.0,Blanc,88888.0,Avec kilométrage,1.6,2002.0,Manuelle,Fiat,Punto,Compacte,Essence,3.0
Bizerte,7.0,108000.0,Rouge,37000.0,Avec kilométrage,1.4,2013.0,Manuelle,Fiat,500L,Monospace,Essence,5.0
Sfax,7.0,41000.0,Blanc,33000.0,Avec kilométrage,1.2,2018.0,Manuelle,Mahindra,Hover,Berline,Essence,5.0
Bizerte,7.0,108000.0,Rouge,37000.0,Avec kilométrage,1.4,2013.0,Manuelle,Fiat,500L,Monospace,Essence,5.0
Ariana,7.0,70000.0,Noir,115000.0,Avec kilométrage,1.7,2021.0,Manuelle,Kia,Sportage,4 x 4,Diesel,135.0
Sousse,7.0,69000.0,Blanc,34000.0,Avec kilométrage,1.2,2019.0,Manuelle,Mahindra,Hover,Compacte,Essence,12.0
Gabès,7.0,157000.0,Noir,22000.0,Avec kilométrage,1.2,2006.0,Manuelle,Peugeot,206,Compacte,Essence,4.0
Ariana,7.0,111111.0,Blanc,18000.0,Avec kilométrage,1.6,2007.0,Manuelle,Peugeot,Partner,Autres,Diesel,8.0
Tunis,7.0,185000.0,Rouge,28500.0,Avec kilométrage,1.2,2009.0,Manuelle,Fiat,500,Berline,Essence,4.0
Ariana,7.0,56.0,Noir,17500.0,Avec kilométrage,1.6,2004.0,Manuelle,Autres,Autres,Autres,Essence,6.0
Bizerte,7.0,22000.0,Noir,36700.0,Avec kilométrage,1.6,2022.0,Manuelle,Renault,Clio,Berline,Essence,4.0
Nabeul,7.0,6500.0,Gris,179000.0,Nouveau,2.0,2024.0,Automatique,Hyundai,H,Monospace,Electrique,4.0
Ben Arous,7.0,370000.0,Argent,28998.0,Avec kilométrage,1.4,2006.0,Manuelle,Volkswagen,Golf 5,Compacte,Essence,5.0
Sfax,7.0,210.0,Noir,21000.0,Avec kilométrage,1.6,2006.0,Manuelle,Fiat,Siena,Autres,Essence,5.0
Ben Arous,7.0,258000.0,Bleu,26000.0,Avec kilométrage,1.4,2012.0,Manuelle,Citroen,C4,Berline,Essence,6.0
Sousse,7.0,200.0,Gris,16900.0,Nouveau,1.8,2005.0,Manuelle,Peugeot,407,Berline,Essence,7.0
Sfax,7.0,30000.0,Gris,160000.0,Avec kilométrage,1.6,2018.0,Automatique,Mercedes-Benz,Classe C,Berline,Essence,8.0
Monastir,7.0,355000.0,Beige,12000.0,Avec kilométrage,1.6,1999.0,Manuelle,Renault,Megane,Berline,Diesel,6.0
Tunis,7.0,30000.0,Noir,45000.0,Nouveau,1.2,2022.0,Manuelle,Peugeot,208,Berline,Essence,4.0
Monastir,7.0,355000.0,Beige,12000.0,Avec kilométrage,1.6,1999.0,Manuelle,Renault,Megane,Berline,Diesel,6.0
Tunis,7.0,30000.0,Noir,45000.0,Nouveau,1.2,2022.0,Manuelle,Peugeot,208,Berline,Essence,4.0
Ben Arous,8.0,290000.0,Gris,51000.0,Avec kilométrage,2.0,2011.0,Automatique,Kia,Sportage,4 x 4,Diesel,-1.0
Ben Arous,8.0,200000.0,Blanc,43200.0,Avec kilométrage,1.2,2017.0,Manuelle,Seat,Leon,Compacte,Essence,6.0
Mahdia,8.0,200000.0,Blanc,88888.0,Avec kilométrage,1.6,2002.0,Manuelle,Fiat,Punto,Compacte,Essence,3.0
Ben Arous,8.0,240.0,Blanc,24500.0,Avec kilométrage,1.6,2018.0,Manuelle,Mitsubishi,Canter,Berline,Essence,4.0
Ariana,8.0,280.0,Rouge,18800.0,Avec kilométrage,1.4,2008.0,Manuelle,Peugeot,206,Autres,Essence,5.0
Tunis,8.0,46.0,Rouge,31500.0,Nouveau,1.6,2021.0,Manuelle,Suzuki,Celerio,Compacte,Essence,4.0
Kairouan,8.0,80000.0,Gris,80000.0,Nouveau,1.4,2020.0,Automatique,Jeep,Compass,Compacte,Essence,8.0
Sfax,8.0,210000.0,Beige,28300.0,Avec kilométrage,1.4,2009.0,Manuelle,mini,One,Autres,Essence,5.0
Ben Arous,8.0,200000.0,Gris,27600.0,Avec kilométrage,1.2,2010.0,Manuelle,Volkswagen,Polo,Autres,Essence,4.0
Kairouan,8.0,140000.0,Gris,63000.0,Nouveau,1.4,2017.0,Manuelle,Volkswagen,Passat,Berline,Essence,8.0
Tunis,8.0,53.0,Noir,195000.0,Nouveau,1.6,2022.0,Automatique,Mercedes-Benz,Classe C,Compacte,Essence,9.0
Tunis,8.0,210000.0,Noir,29130.0,Avec kilométrage,1.6,2013.0,Manuelle,Volkswagen,Passat CC,Berline,Essence,7.0
Kairouan,8.0,80000.0,Blanc,120000.0,Nouveau,1.5,2020.0,Automatique,Volkswagen,Golf,Compacte,Hybride essence,8.0
Tunis,8.0,300.0,Noir,24000.0,Avec kilométrage,1.4,2009.0,Manuelle,Ford,Focus,Berline,Essence,6.0
Kairouan,8.0,60000.0,Rouge,55000.0,Nouveau,1.2,2020.0,Manuelle,Hyundai,I 10,Compacte,Essence,5.0
Tunis,8.0,280000.0,Noir,28000.0,Avec kilométrage,1.7,2009.0,Manuelle,Opel,Astra,Autres,Diesel,7.0
Jendouba,8.0,94000.0,Gris,47000.0,Avec kilométrage,1.2,2019.0,Manuelle,Peugeot,208,Berline,Essence,4.0
Ariana,8.0,197139.0,Gris,20700.0,Avec kilométrage,1.1,2006.0,Manuelle,Volkswagen,Polo,Compacte,Essence,4.0
Médenine,8.0,85000.0,Blanc,50000.0,Nouveau,1.5,2019.0,Manuelle,Nissan,Evalia,Utilitaire,Diesel,5.0
Médenine,8.0,85000.0,Blanc,50000.0,Nouveau,1.5,2019.0,Manuelle,Nissan,Evalia,Utilitaire,Diesel,5.0
Ariana,8.0,90000.0,Noir,42000.0,Nouveau,3.0,2018.0,Manuelle,Renault,Clio,Autres,Essence,5.0
Tunis,8.0,111000.0,Bleu,40000.0,Avec kilométrage,1.2,2018.0,Automatique,Fiat,500,Compacte,Essence,4.0
Ben Arous,8.0,300.0,Noir,23500.0,Avec kilométrage,2.0,2002.0,Manuelle,BMW,Serie 2,Utilitaire,Diesel,7.0
Sousse,8.0,202000.0,Bleu,49500.0,Avec kilométrage,1.5,2019.0,Manuelle,Renault,Megane,Compacte,Diesel,4.0
Médenine,8.0,290000.0,Gris,73000.0,RS,3.0,2013.0,Automatique,Mercedes-Benz,Classe E,Berline,Diesel,14.0
Kairouan,8.0,200000.0,Noir,28000.0,Avec kilométrage,1.2,2012.0,Manuelle,Opel,Corsa,Compacte,Essence,5.0
Tunis,8.0,152000.0,Noir,112000.0,Nouveau,1.4,2015.0,Automatique,Mercedes-Benz,Classe C,Autres,Essence,8.0
Ben Arous,8.0,31000.0,Gris,105000.0,Nouveau,1.2,2022.0,Manuelle,Peugeot,3008,Berline,Essence,7.0
Sfax,8.0,276000.0,Blanc,73000.0,Avec kilométrage,3.0,2018.0,Manuelle,Iveco,Daily,Utilitaire,Diesel,10.0
Gabès,8.0,180.0,Rouge,31000.0,Nouveau,1.2,2014.0,Manuelle,Renault,Clio,Compacte,Essence,5.0
La Manouba,8.0,316000.0,Gris,16200.0,Avec kilométrage,3.0,2004.0,Manuelle,Volkswagen,Polo,Compacte,Essence,4.0
Zaghouan,8.0,132200.0,Noir,32500.0,Avec kilométrage,1.4,2014.0,Manuelle,Citroen,C4,Berline,Essence,6.0
Bizerte,8.0,22000.0,Noir,36700.0,Avec kilométrage,1.6,2022.0,Manuelle,Renault,Clio,Berline,Essence,4.0
Ariana,8.0,131000.0,Blanc,60000.0,Avec kilométrage,3.0,2016.0,Automatique,Citroen,DS5,Berline,Essence,9.0
Ben Arous,8.0,160605.0,Noir,27000.0,Avec kilométrage,1.6,2012.0,Manuelle,Chevrolet,Cruze,Autres,Essence,7.0
Monastir,8.0,498000.0,Noir,19000.0,Avec kilométrage,1.2,2005.0,Manuelle,Volkswagen,Polo,Monospace,Essence,5.0
Nabeul,8.0,29700.0,Rouge,48000.0,Avec kilométrage,1.5,2020.0,Manuelle,Chery,Tiggo,Autres,Essence,6.0
Tunis,8.0,9999.0,Blanc,19000.0,Avec kilométrage,2.6,1998.0,Manuelle,Mercedes-Benz,Sprinter,Utilitaire,Diesel,9.0
Bizerte,8.0,215000.0,Gris,10500.0,Avec kilométrage,1.2,2000.0,Manuelle,Fiat,Palio,Autres,Essence,4.0
Bizerte,8.0,22000.0,Noir,36700.0,Avec kilométrage,1.6,2022.0,Manuelle,Renault,Clio,Berline,Essence,4.0
Tunis,8.0,210000.0,Rouge,36500.0,Avec kilométrage,2.0,2009.0,Manuelle,BMW,Serie 1,Compacte,Essence,7.0
Tunis,8.0,110000.0,Gris,63000.0,Avec kilométrage,1.6,2020.0,Manuelle,Seat,Ibiza,Compacte,Essence,6.0
Bizerte,8.0,22000.0,Noir,36700.0,Avec kilométrage,1.6,2022.0,Manuelle,Renault,Clio,Autres,Essence,4.0
Tunis,8.0,190000.0,Noir,28000.0,Avec kilométrage,1.2,2008.0,Manuelle,Fiat,500,Compacte,Essence,4.0
Ben Arous,8.0,156000.0,Blanc,25000.0,Avec kilométrage,1.2,2016.0,Manuelle,Chevrolet,Spark,Compacte,Essence,5.0
Nabeul,8.0,140000.0,Blanc,57500.0,Nouveau,1.5,2020.0,Manuelle,Renault,Megane,Berline,Diesel,6.0
Nabeul,8.0,89000.0,Blanc,75000.0,Nouveau,1.6,2020.0,Manuelle,Volkswagen,T-ROC,Berline,Essence,6.0
Ariana,8.0,160000.0,Noir,31000.0,Avec kilométrage,1.2,2013.0,Manuelle,Seat,Ibiza,Compacte,Essence,5.0
Nabeul,8.0,115.0,Blanc,72500.0,Avec kilométrage,1.6,2018.0,Manuelle,Volkswagen,Golf 7,Compacte,Essence,4.0
Tunis,8.0,220.0,Gris,21000.0,Nouveau,1.2,2007.0,Manuelle,Renault,Clio,Compacte,Essence,4.0
Tunis,8.0,85.0,Blanc,37600.0,Avec kilométrage,1.2,2020.0,Manuelle,Hyundai,I 10,Autres,Essence,5.0
Médenine,8.0,15000.0,Noir,150000.0,Non dédouanné,1.6,2024.0,Automatique,Autres,Autres,Berline,Electrique,11.0
Tunis,8.0,87.0,Blanc,46800.0,Avec kilométrage,1.2,2020.0,Manuelle,Hyundai,I 20,Autres,Essence,5.0
Ariana,8.0,200000.0,Noir,45000.0,Avec kilométrage,2.0,2008.0,Manuelle,Audi,A4,Autres,Diesel,8.0
Ariana,8.0,256000.0,Gris,37000.0,Avec kilométrage,2.7,2002.0,Manuelle,Ssangyong,Rexton,4 x 4,Diesel,10.0
Sfax,8.0,122000.0,Blanc,39000.0,Avec kilométrage,1.2,2016.0,Manuelle,Citroen,C4,Compacte,Essence,6.0
Ariana,8.0,103000.0,Blanc,45000.0,Nouveau,1.6,2020.0,Manuelle,Citroen,Berlingo,Autres,Diesel,5.0
Tunis,8.0,172000.0,Gris,42500.0,Nouveau,1.2,2015.0,Manuelle,Seat,Leon,Compacte,Essence,6.0
Ariana,8.0,140000.0,Gris,59000.0,Avec kilométrage,2.0,2013.0,Automatique,Volkswagen,Tiguan,4 x 4,Essence,11.0
La Manouba,8.0,90000.0,Gris,23000.0,Avec kilométrage,1.2,2008.0,Manuelle,Citroen,C4,Utilitaire,Essence,6.0
Bizerte,8.0,22000.0,Noir,36700.0,Avec kilométrage,1.6,2022.0,Manuelle,Renault,Clio,Autres,Essence,4.0
Sousse,8.0,204000.0,Bleu,52500.0,Avec kilométrage,2.0,2011.0,Manuelle,BMW,Serie 3 GT,Berline,Diesel,6.0
La Manouba,8.0,200000.0,Noir,31000.0,Avec kilométrage,3.0,2005.0,Manuelle,Volkswagen,Golf 5,Autres,Diesel,6.0
Kasserine,8.0,213000.0,Noir,42500.0,Nouveau,1.6,2012.0,Manuelle,Citroen,C5,Berline,Diesel,6.0
Tunis,8.0,90000.0,Blanc,32000.0,Avec kilométrage,1.2,2020.0,Manuelle,Peugeot,208,Compacte,Essence,4.0
Sfax,8.0,54000.0,Blanc,145000.0,Avec kilométrage,1.4,2021.0,Automatique,Volkswagen,Golf,Compacte,Hybride essence,6.0
Sousse,8.0,35000.0,Noir,101500.0,Avec kilométrage,1.5,2022.0,Automatique,Haval,H6,4 x 4,Essence,8.0
Sfax,8.0,286000.0,Noir,32500.0,Avec kilométrage,1.6,2004.0,Manuelle,Volkswagen,Passat,Berline,Essence,7.0
Ben Arous,8.0,93000.0,Blanc,179000.0,Avec kilométrage,2.0,2021.0,Automatique,BMW,Serie 5,Compacte,Essence,10.0
Sfax,8.0,132000.0,Blanc,36000.0,Avec kilométrage,1.2,2018.0,Manuelle,Peugeot,208,Compacte,Essence,5.0
Le Kef,8.0,280000.0,Noir,25500.0,Avec kilométrage,1.6,2009.0,Manuelle,Ford,Focus,Berline,Essence,6.0
Bizerte,8.0,210000.0,Noir,28500.0,Avec kilométrage,1.2,2012.0,Manuelle,Kia,Rio,Berline,Essence,5.0
Ben Arous,8.0,187000.0,Autre,27500.0,Avec kilométrage,1.2,2013.0,Manuelle,Kia,Picanto,Compacte,Essence,4.0
Gabès,8.0,198000.0,Noir,24900.0,Avec kilométrage,1.4,2010.0,Manuelle,Ford,Focus C-MAX,Berline,Essence,6.0
Tunis,8.0,44000.0,Gris,54000.0,Nouveau,1.2,2023.0,Manuelle,Mahindra,Hover,4 x 4,Essence,6.0
Ariana,8.0,220000.0,Gris,65500.0,Avec kilométrage,2.0,2013.0,Manuelle,Volkswagen,Amarok,4 x 4,Diesel,8.0
Tunis,8.0,260000.0,Blanc,48000.0,Avec kilométrage,2.0,2014.0,Automatique,Mazda,CX-5,4 x 4,Essence,9.0
Nabeul,8.0,158000.0,Beige,58000.0,Nouveau,1.6,2019.0,Automatique,Ford,ECOSPORT,Autres,Essence,6.0
Bizerte,8.0,22000.0,Noir,36700.0,Avec kilométrage,1.6,2022.0,Manuelle,Renault,Clio,Autres,Essence,4.0
Monastir,8.0,300000.0,Noir,22000.0,Avec kilométrage,1.2,2009.0,Manuelle,Volkswagen,Polo,Compacte,Essence,5.0
Sousse,8.0,116000.0,Bleu,55000.0,Nouveau,1.6,2018.0,Automatique,Ssangyong,Tivoli,4 x 4,Essence,8.0
Tunis,8.0,275000.0,Marron,37000.0,Avec kilométrage,1.5,2014.0,Manuelle,Renault,Megane,Berline,Diesel,5.0
Ariana,8.0,151000.0,Blanc,42000.0,Avec kilométrage,1.2,2016.0,Manuelle,Peugeot,2008,Autres,Essence,5.0
Ben Arous,8.0,49900.0,Blanc,200000.0,Avec kilométrage,2.0,2019.0,Automatique,Land Rover,Range Rover Evoque,4 x 4,Diesel,7.0
Ben Arous,8.0,49900.0,Blanc,200000.0,Avec kilométrage,2.0,2019.0,Automatique,Land Rover,Range Rover Evoque,4 x 4,Diesel,7.0
Kébili,8.0,24000.0,Rouge,120000.0,Non dédouanné,2.0,2017.0,Automatique,Land Rover,Range Rover Evoque,4 x 4,Diesel,10.0
Sousse,8.0,197000.0,Noir,36000.0,Avec kilométrage,3.0,2018.0,Manuelle,Chevrolet,Cruze,Berline,Essence,7.0
Monastir,8.0,85000.0,Noir,55000.0,Nouveau,1.6,2020.0,Manuelle,Renault,Clio,Compacte,Essence,5.0
Ariana,8.0,60000.0,Blanc,16000.0,Avec kilométrage,1.1,2007.0,Manuelle,Opel,Corsa,Compacte,Diesel,4.0
Tunis,8.0,77000.0,Noir,42000.0,Nouveau,1.4,2020.0,Manuelle,Hyundai,I 20,Berline,Essence,5.0
Le Kef,8.0,350000.0,Noir,15000.0,Nouveau,1.6,2004.0,Manuelle,Renault,Laguna,Berline,Essence,7.0
Tunis,8.0,115000.0,Noir,32000.0,Avec kilométrage,1.2,2020.0,Automatique,Fiat,Panda,Berline,Essence,4.0
Ariana,8.0,140000.0,Gris,59000.0,Avec kilométrage,2.0,2013.0,Automatique,Volkswagen,Tiguan,4 x 4,Essence,11.0
Tunis,8.0,97000.0,Noir,35500.0,Nouveau,1.2,2017.0,Manuelle,Volkswagen,Polo,Berline,Essence,5.0
Bizerte,8.0,80.0,Gris,12345.0,Avec kilométrage,1.6,2000.0,Manuelle,Ford,Focus,Compacte,Diesel,5.0
Tunis,8.0,50000.0,Argent,34000.0,Avec kilométrage,1.2,2019.0,Manuelle,Mahindra,Hover,Compacte,Essence,5.0
Sfax,8.0,204000.0,Blanc,72000.0,Nouveau,1.6,2015.0,Automatique,BMW,Serie 3,Berline,Essence,7.0
Le Kef,8.0,265000.0,Noir,32000.0,Nouveau,1.5,2012.0,Manuelle,Renault,Megane Estate,Berline,Diesel,5.0
Sfax,8.0,185000.0,Noir,42000.0,Avec kilométrage,1.4,2010.0,Manuelle,Volkswagen,Golf 6,Berline,Essence,5.0
Sousse,8.0,30000.0,Rouge,61000.0,Avec kilométrage,1.2,2022.0,Manuelle,Kia,Rio,Compacte,Essence,5.0
Jendouba,8.0,111111.0,Blanc,111111.0,Avec kilométrage,3.0,2008.0,Manuelle,Toyota,Hi Ace,Compacte,Diesel,10.0
Ben Arous,8.0,110.0,Gris,46500.0,Avec kilométrage,1.6,2020.0,Manuelle,Volkswagen,Polo,Compacte,Essence,4.0
Tunis,8.0,52000.0,Noir,132000.0,Avec kilométrage,1.8,2020.0,Manuelle,Mercedes-Benz,Classe CLA,Berline,Essence,7.0
Tunis,8.0,106960.0,Autre,47000.0,Avec kilométrage,1.6,2012.0,Manuelle,BMW,Serie 3,Berline,Essence,7.0
Gabès,8.0,12345.0,Rouge,12345.0,Avec kilométrage,1.2,1996.0,Manuelle,Opel,Corsa,Autres,Essence,1200.0
Nabeul,8.0,191.0,Camel,28500.0,Avec kilométrage,1.2,2010.0,Manuelle,Volkswagen,Polo,Autres,Essence,5.0
Sfax,8.0,104000.0,Gris,73000.0,Avec kilométrage,1.6,2019.0,Manuelle,Volkswagen,Golf,Compacte,Essence,6.0
Ben Arous,8.0,200000.0,Blanc,31000.0,Avec kilométrage,1.2,2017.0,Manuelle,Citroen,DS3,Cabriolet,Essence,5.0
Sfax,8.0,276000.0,Gris,17500.0,Avec kilométrage,1.5,2011.0,Manuelle,Dacia,Logan,Utilitaire,Diesel,6.0
Monastir,8.0,200000.0,Rouge,16000.0,Avec kilométrage,1.6,1999.0,Manuelle,Renault,Clio,Autres,Essence,4.0
Ariana,8.0,260.0,Beige,20000.0,Avec kilométrage,3.5,2008.0,Manuelle,Peugeot,206,Autres,Essence,0.0
Nabeul,8.0,90000.0,Blanc,57500.0,Avec kilométrage,2.5,2017.0,Manuelle,Isuzu,D-MAX,Pick up,Diesel,8.0
Nabeul,8.0,76500.0,Noir,239000.0,Avec kilométrage,1.5,2021.0,Automatique,Land Rover,Range Rover Evoque,4 x 4,Hybride,11.0
Ben Arous,8.0,40000.0,Blanc,63500.0,Avec kilométrage,2.5,2018.0,Manuelle,Hyundai,H-1,Monospace,Diesel,9.0
Tunis,8.0,30000.0,Gris,15000.0,Avec kilométrage,1.4,2009.0,Manuelle,Renault,Megane,Compacte,Diesel,4.0
Ben Arous,8.0,278000.0,Vert,16000.0,Avec kilométrage,1.2,2006.0,Manuelle,Renault,Clio,Berline,Essence,5.0
Ariana,8.0,205000.0,Noir,25216.0,Avec kilométrage,1.6,2017.0,Automatique,Mercedes-Benz,Classe E,Berline,Essence,9.0
Tunis,8.0,74.0,Blanc,35500.0,Nouveau,1.3,2021.0,Manuelle,Fiat,Fiorino,Autres,Diesel,5.0
Monastir,8.0,238000.0,Blanc,19000.0,Avec kilométrage,1.3,2012.0,Manuelle,Fiat,Doblo,Utilitaire,Diesel,4.0
Nabeul,8.0,37000.0,Gris,44000.0,Nouveau,1.5,2020.0,Manuelle,MG,3,Compacte,Essence,6.0
Ben Arous,8.0,185000.0,Bleu,18000.0,Avec kilométrage,1.2,2001.0,Manuelle,Renault,Clio,Compacte,Essence,4.0
Kairouan,8.0,55000.0,Gris,1111.0,Avec kilométrage,1.2,2021.0,Automatique,Mercedes-Benz,Classe A,Berline,Essence,7.0
Médenine,8.0,18000.0,Bleu,60000.0,Nouveau,1.2,2017.0,Manuelle,Renault,Megane,Compacte,Essence,5.0
Ben Arous,8.0,60000.0,Bleu,48000.0,Avec kilométrage,1.5,2021.0,Automatique,MG,3,Compacte,Essence,7.0
Sousse,9.0,36000.0,Noir,48000.0,Avec kilométrage,1.6,2020.0,Automatique,Dongfeng,s50,Berline,Essence,7.0
Médenine,9.0,160000.0,Blanc,148000.0,Nouveau,1.5,2019.0,Automatique,Audi,Q3,Compacte,Essence,8.0
Sfax,9.0,304000.0,Noir,27000.0,Avec kilométrage,2.0,2009.0,Automatique,Peugeot,407,Berline,Essence,9.0
Médenine,9.0,95650.0,Blanc,35000.0,Nouveau,1.2,2018.0,Manuelle,Chery,A3,Berline,Essence,5.0
Ben Arous,9.0,100000.0,Beige,37000.0,Avec kilométrage,1.2,2014.0,Manuelle,Fiat,500,Cabriolet,Essence,4.0
Kairouan,9.0,30000.0,Gris,12000.0,Avec kilométrage,1.6,2000.0,Manuelle,Opel,Corsa,Berline,Essence,4.0
Ben Arous,9.0,133000.0,Gris,36000.0,Avec kilométrage,1.2,2018.0,Manuelle,Hyundai,I 10,Berline,Essence,5.0
Nabeul,9.0,105000.0,Rouge,87000.0,Nouveau,1.7,2018.0,Automatique,Kia,Sportage,Autres,Diesel,7.0
Médenine,9.0,70000.0,Blanc,187000.0,Avec kilométrage,2.2,2021.0,Automatique,BMW,Serie 5,Berline,Essence,10.0
Tunis,9.0,250000.0,Bleu,57500.0,Avec kilométrage,1.6,2013.0,Automatique,BMW,Serie 3 GT,Berline,Essence,7.0
Ben Arous,9.0,77000.0,Doré,42500.0,Avec kilométrage,1.4,2016.0,Manuelle,Volkswagen,Polo,Autres,Essence,5.0
Sfax,9.0,96000.0,Blanc,19000.0,Avec kilométrage,1.6,2017.0,Manuelle,Chery,QQ,Autres,Essence,4.0
Ben Arous,9.0,156000.0,Blanc,25000.0,Avec kilométrage,1.2,2016.0,Manuelle,Chevrolet,Spark,Compacte,Essence,5.0
Ariana,9.0,106000.0,Rouge,40000.0,Avec kilométrage,1.2,2021.0,Manuelle,Hyundai,I 20,Compacte,Essence,5.0
Tunis,9.0,255.0,Rouge,24000.0,Avec kilométrage,1.6,2008.0,Manuelle,Volkswagen,Polo,Compacte,Essence,4.0
Nabeul,9.0,89930.0,Gris,47000.0,Avec kilométrage,3.0,2016.0,Manuelle,Peugeot,2008,Utilitaire,Essence,5.0
Tunis,9.0,51000.0,Blanc,69000.0,Avec kilométrage,1.2,2021.0,Manuelle,Peugeot,2008,Autres,Essence,6.0
Ariana,9.0,127000.0,Noir,135000.0,Nouveau,3.2,2010.0,Automatique,Mitsubishi,Pajero Sport,4 x 4,Diesel,12.0
Ariana,9.0,145000.0,Gris,49000.0,Avec kilométrage,3.5,2007.0,Automatique,Mercedes-Benz,Classe CLS,Berline,Essence,20.0
Tunis,9.0,180000.0,Gris,23000.0,Avec kilométrage,1.2,2015.0,Manuelle,Peugeot,208,Berline,Essence,5.0
Tunis,9.0,200000.0,Gris,19000.0,Avec kilométrage,1.4,2009.0,Manuelle,Peugeot,206,Berline,Essence,5.0
Kairouan,9.0,1700000.0,Noir,38500.0,Avec kilométrage,1.8,2013.0,Manuelle,Volkswagen,Jetta,Compacte,Essence,8.0
Mahdia,9.0,215000.0,Bleu,240000.0,Avec kilométrage,1.6,2008.0,Automatique,Ford,Focus C-MAX,Compacte,Essence,4.0
Tunis,9.0,116000.0,Noir,93000.0,Avec kilométrage,1.6,2019.0,Automatique,Audi,A3,Berline,Essence,116.0
Tunis,9.0,300.0,Noir,23500.0,Avec kilométrage,1.6,2008.0,Manuelle,Peugeot,407 SW,Autres,Diesel,6.0
Tunis,9.0,330.0,Noir,23500.0,Avec kilométrage,1.6,2008.0,Manuelle,Peugeot,407 SW,Autres,Diesel,6.0
Sousse,9.0,82000.0,Gris,43000.0,Nouveau,1.6,2021.0,Manuelle,Volkswagen,Polo,Autres,Essence,4.0
Tunis,9.0,47000.0,Blanc,43700.0,Avec kilométrage,3.0,2021.0,Automatique,Kia,Picanto,Compacte,Essence,4.0
Sousse,9.0,294000.0,Gris,11000.0,Avec kilométrage,1.2,1999.0,Manuelle,Fiat,Palio,Berline,Essence,5.0
Jendouba,9.0,293.0,Blanc,55531.0,Avec kilométrage,1.6,2013.0,Manuelle,Peugeot,Boxer,Autres,Diesel,0.0
